"","category","AP21-1_S1","AP21-2_S2","AP31-1_S3","AP31-2_S4","AP32-1_S5","AP32-2_S6","AP40-1_S7","AP40-2_S9","AP53-1_S10","AP53-2_S11","CNEG-1_S8","CNEG-2_S12","mean_rpm"
"Pasteurella multocida","bacteria",57,199,314,156,590,113,122,36,71,122,0,0,178
"Streptococcus gordonii","bacteria",96,87,377,200,135,134,154,212,132,90,0,0,161.7
"Staphylococcus saprophyticus","bacteria",18,0,0,0,0,0,0,0,0,0,305,0,161.5
"Paraclostridium bifermentans","bacteria",648,86,14,49,45,13,41,68,578,18,0,0,156
"Mycobacterium simiae","bacteria",0,0,0,0,0,0,0,0,0,0,152,0,152
"Klebsiella pneumoniae","bacteria",124,155,188,216,81,38,52,268,87,129,76,332,145.5
"Salmonella enterica","bacteria",115,162,205,186,129,103,43,293,126,134,76,0,142.909090909091
"Corynebacterium jeikeium","bacteria",82,91,54,13,24,17,48,22,138,971,76,0,139.636363636364
"Kingella kingae","bacteria",158,619,32,11,100,18,0,0,30,0,0,0,138.285714285714
"Streptococcus intermedius","bacteria",44,41,46,140,118,112,101,76,468,187,0,0,133.3
"Achromobacter xylosoxidans","bacteria",22,0,20,0,0,13,0,0,24,53,0,665,132.833333333333
"Cardiobacterium hominis","bacteria",32,324,158,24,77,102,37,129,307,0,0,0,132.222222222222
"Aggregatibacter actinomycetemcomitans","bacteria",145,71,363,218,22,34,50,31,174,164,0,0,127.2
"Haemophilus pittmaniae","bacteria",57,142,95,67,382,220,44,47,29,95,0,0,117.8
"Aggregatibacter aphrophilus","bacteria",56,402,133,73,123,75,97,39,54,0,0,0,116.888888888889
"Streptobacillus moniliformis","bacteria",258,79,269,173,104,41,0,32,29,62,0,0,116.333333333333
"Enterovirus D","viruses",0,0,221,8,0,0,0,0,0,0,0,0,114.5
"Leptotrichia buccalis","bacteria",242,86,42,79,362,83,31,45,78,20,0,0,106.8
"Human metapneumovirus","viruses",0,0,0,106,0,0,0,0,0,0,0,0,106
"Acanthamoeba lenticulata","eukaryota",67,81,32,153,72,218,194,71,123,46,0,0,105.7
"Listeria monocytogenes","bacteria",77,61,105,57,41,61,55,68,99,113,76,332,95.4166666666667
"Legionella pneumophila","bacteria",11,0,0,0,0,0,14,19,0,0,0,332,94
"Streptococcus dysgalactiae","bacteria",54,122,56,220,74,156,85,74,69,18,0,0,92.8
"Porphyromonas gingivalis","bacteria",159,35,32,19,48,60,18,345,112,0,0,0,92
"Streptococcus agalactiae","bacteria",85,40,58,141,45,102,73,98,55,208,76,0,89.1818181818182
"Pseudomonas aeruginosa","bacteria",70,24,46,72,20,30,19,81,81,51,228,332,87.8333333333333
"Kingella denitrificans","bacteria",96,58,406,46,17,23,16,95,101,16,0,0,87.4
"Stenotrophomonas maltophilia","bacteria",63,33,54,72,27,45,14,51,70,208,305,0,85.6363636363636
"Ralstonia pickettii","bacteria",0,10,0,12,0,19,0,195,183,0,0,0,83.8
"Influenza B virus","viruses",0,0,174,2,0,0,0,0,74,0,0,0,83.3333333333333
"Tannerella forsythia","bacteria",372,12,16,0,15,44,0,36,38,0,0,0,76.1428571428571
"Human alphaherpesvirus 1","viruses",0,0,0,0,6,88,32,0,0,166,0,0,73
"Corynebacterium striatum","bacteria",165,30,16,39,47,17,22,61,56,273,0,0,72.6
"Sphingomonas paucimobilis","bacteria",49,0,0,0,0,0,0,13,0,0,152,0,71.3333333333333
"Treponema denticola","bacteria",214,28,10,0,49,104,39,84,13,0,0,0,67.625
"Weizmannia coagulans","bacteria",56,57,77,60,38,51,44,88,76,122,0,0,66.9
"Staphylococcus haemolyticus","bacteria",17,0,0,0,0,0,0,0,13,166,0,0,65.3333333333333
"Clostridium perfringens","bacteria",66,24,83,89,24,59,62,64,71,108,0,0,65
"Fusarium verticillioides","eukaryota",63,0,0,0,0,0,0,0,0,0,0,0,63
"Morganella morganii","bacteria",30,20,26,23,21,23,0,48,15,39,381,0,62.6
"Enterobacter cloacae","bacteria",100,0,18,0,0,0,0,0,0,0,0,0,59
"Staphylococcus capitis","bacteria",88,0,32,25,13,0,209,12,31,53,0,0,57.875
"Corynebacterium minutissimum","bacteria",47,21,0,0,0,0,0,10,26,185,0,0,57.8
"Staphylococcus saccharolyticus","bacteria",57,0,0,0,0,0,0,0,0,0,0,0,57
"Trypanosoma cruzi","eukaryota",21,38,14,12,15,12,14,11,14,16,457,0,56.7272727272727
"Histoplasma capsulatum","eukaryota",81,21,32,0,0,0,18,26,45,171,0,0,56.2857142857143
"Metamycoplasma salivarium","bacteria",89,0,0,0,0,0,0,0,18,0,0,0,53.5
"Human orthopneumovirus","viruses",0,0,0,0,95,0,0,0,0,11,0,0,53
"Aeromonas veronii","bacteria",0,0,12,11,0,0,0,29,0,0,152,0,51
"Pandoraea pulmonicola","bacteria",34,35,109,41,11,52,15,40,81,90,0,0,50.8
"Burkholderia mallei","bacteria",67,45,81,55,15,38,10,42,59,95,0,0,50.7
"Cyclospora cayetanensis","eukaryota",0,0,0,14,0,0,0,0,0,60,76,0,50
"Haemophilus ducreyi","bacteria",27,38,62,89,81,54,0,0,22,20,0,0,49.125
"Brucella anthropi","bacteria",49,0,0,0,0,0,0,0,0,0,0,0,49
"Enterococcus faecium","bacteria",33,34,16,38,36,34,49,45,42,41,152,0,47.2727272727273
"Anaerococcus prevotii","bacteria",67,0,0,0,0,0,0,32,34,55,0,0,47
"Metamycoplasma hominis","bacteria",0,18,14,40,30,82,128,15,0,0,0,0,46.7142857142857
"Babesia microti","eukaryota",31,30,20,39,41,20,0,196,15,27,0,0,46.5555555555556
"Gardnerella vaginalis","bacteria",13,10,14,18,242,13,0,0,0,11,0,0,45.8571428571429
"Bacillus cereus","bacteria",63,43,32,40,33,35,13,38,44,30,76,0,40.6363636363636
"Klebsiella quasipneumoniae","bacteria",11,12,16,0,0,0,0,32,0,20,152,0,40.5
"Corynebacterium diphtheriae","bacteria",46,27,0,22,25,0,21,31,48,90,0,0,38.75
"Human gammaherpesvirus 4","viruses",0,14,0,22,10,0,0,25,119,32,0,0,37
"Enterococcus faecalis","bacteria",27,34,83,29,28,16,41,23,35,51,0,0,36.7
"Corynebacterium pseudotuberculosis","bacteria",36,18,0,0,0,0,0,21,40,55,0,0,34
"Kytococcus sedentarius","bacteria",0,0,0,22,0,0,0,0,28,51,0,0,33.6666666666667
"Abiotrophia defectiva","bacteria",20,31,10,81,0,14,0,15,62,30,0,0,32.875
"Pseudomonas fluorescens","bacteria",32,11,60,24,12,27,43,30,23,64,0,0,32.6
"Streptococcus equinus","bacteria",0,0,0,14,0,55,0,30,31,0,0,0,32.5
"Serratia marcescens","bacteria",0,0,10,0,0,0,0,13,0,30,76,0,32.25
"Streptococcus mutans","bacteria",24,12,18,14,13,36,21,63,66,53,0,0,32
"Acinetobacter pittii","bacteria",15,0,0,0,0,13,15,122,11,13,0,0,31.5
"Plasmodium vivax","eukaryota",22,10,28,11,20,33,0,0,53,74,0,0,31.375
"Clostridioides difficile","bacteria",71,27,16,20,22,18,19,25,66,23,0,0,30.7
"Treponema vincentii","bacteria",84,10,14,0,15,36,0,27,23,0,0,0,29.8571428571429
"Elizabethkingia meningoseptica","bacteria",0,0,0,0,0,0,0,0,28,0,0,0,28
"Enterovirus A","viruses",0,0,0,52,0,0,0,0,0,4,0,0,28
"Streptococcus constellatus","bacteria",27,0,26,0,13,34,16,40,38,0,0,0,27.7142857142857
"Mycolicibacter terrae","bacteria",0,0,0,0,0,0,0,0,0,27,0,0,27
"Raoultella ornithinolytica","bacteria",0,27,0,0,0,0,0,0,0,0,0,0,27
"Scedosporium apiospermum","eukaryota",13,0,0,0,0,11,0,0,32,51,0,0,26.75
"Providencia stuartii","bacteria",0,0,0,0,0,0,0,26,0,0,0,0,26
"Corynebacterium ulcerans","bacteria",20,37,0,0,24,23,31,24,30,11,0,0,25
"Bacillus licheniformis","bacteria",20,11,12,14,23,11,20,30,30,57,0,0,22.8
"Citrobacter koseri","bacteria",0,0,0,0,0,0,0,20,0,25,0,0,22.5
"Bacillus anthracis","bacteria",23,27,18,36,16,23,15,24,31,11,0,0,22.4
"Klebsiella variicola","bacteria",0,0,34,22,0,0,0,0,0,11,0,0,22.3333333333333
"Vibrio cholerae","bacteria",22,22,26,15,19,0,0,40,14,20,0,0,22.25
"Bacillus thuringiensis","bacteria",11,21,20,20,15,12,16,13,17,0,76,0,22.1
"Aeromonas hydrophila","bacteria",19,0,42,13,0,17,0,0,23,18,0,0,22
"Achromobacter denitrificans","bacteria",0,0,16,0,0,0,0,0,0,25,0,0,20.5
"Mycobacterium tuberculosis","bacteria",24,20,0,25,11,0,13,21,23,25,0,0,20.25
"Bacteroides fragilis","bacteria",20,14,0,15,0,22,15,0,26,20,0,0,18.8571428571429
"Bordetella parapertussis","bacteria",13,14,26,0,12,0,14,17,17,30,0,0,17.875
"Tsukamurella tyrosinosolvens","bacteria",0,0,0,0,0,0,17,0,0,0,0,0,17
"Vibrio parahaemolyticus","bacteria",0,0,12,0,0,0,0,22,0,0,0,0,17
"Aeromonas caviae","bacteria",17,0,10,0,0,12,0,30,13,0,0,0,16.4
"Actinotignum schaalii","bacteria",16,0,0,0,0,0,0,0,0,0,0,0,16
"Tsukamurella pulmonis","bacteria",16,0,0,0,0,0,0,0,0,0,0,0,16
"Treponema pallidum","bacteria",0,14,0,0,0,0,0,0,0,0,0,0,14
"Campylobacter curvus","bacteria",14,17,10,0,0,0,0,0,0,0,0,0,13.6666666666667
"Yersinia pestis","bacteria",15,0,20,11,12,0,0,13,0,11,0,0,13.6666666666667
"Clostridium botulinum","bacteria",19,11,0,12,0,0,0,11,0,0,0,0,13.25
"Bordetella petrii","bacteria",0,0,0,13,0,0,0,0,0,0,0,0,13
"Naegleria fowleri","eukaryota",0,0,0,0,0,0,0,0,0,13,0,0,13
"Campylobacter jejuni","bacteria",0,0,14,0,0,0,0,0,11,0,0,0,12.5
"Measles morbillivirus","viruses",3,0,20,0,1,39,4,0,2,18,0,0,12.4285714285714
"Acanthamoeba rhysodes","eukaryota",0,0,0,0,0,0,0,0,12,0,0,0,12
"Acinetobacter nosocomialis","bacteria",0,0,12,0,0,0,0,0,0,0,0,0,12
"Leclercia adecarboxylata","bacteria",0,0,0,12,0,0,0,0,0,0,0,0,12
"Lomentospora prolificans","eukaryota",0,12,0,0,0,0,0,0,12,0,0,0,12
"Arcanobacterium haemolyticum","bacteria",0,12,0,0,0,11,0,0,0,0,0,0,11.5
"Coxiella burnetii","bacteria",0,11,0,0,0,0,0,0,0,0,0,0,11
"Haemophilus aegyptius","bacteria",0,0,0,11,0,0,0,0,0,0,0,0,11
"Mycobacterium malmoense","bacteria",0,0,0,0,11,0,0,0,0,0,0,0,11
"Mycolicibacterium fortuitum","bacteria",0,0,0,11,0,0,0,0,0,0,0,0,11
"Ureaplasma urealyticum","bacteria",11,0,0,0,0,0,0,0,0,0,0,0,11
"Bordetella holmesii","bacteria",0,0,10,0,0,0,0,0,0,0,0,0,10
"Nakaseomyces glabratus","eukaryota",0,10,0,0,0,0,0,0,0,0,0,0,10
"Nocardia cyriacigeorgica","bacteria",0,10,0,0,0,0,0,0,0,0,0,0,10
"Proteus vulgaris","bacteria",10,0,0,0,0,0,0,0,0,0,0,0,10
"Human mastadenovirus B","viruses",0,0,0,0,0,0,7,0,0,0,0,0,7
"Enterovirus B","viruses",0,0,0,1,0,0,0,0,0,11,0,0,6
"Enterovirus J","viruses",1,1,0,9,0,0,0,0,0,0,0,0,3.66666666666667
"Human betaherpesvirus 7","viruses",0,0,0,0,0,0,0,0,1,0,0,0,1
